[  2%] Built target freertos_printf
[ 11%] Built target bsp
[ 42%] Built target pmsis_implem
[ 47%] Built target ri5cy-gap9
[ 52%] Built target freertos_libs
[ 55%] Built target freertos_pmsis_backend
[ 69%] Built target pmsis_rtos
[ 79%] Built target freertos_gap9
[ 82%] Built target dt
[ 94%] Built target freertos
[ 95%] Building C object CMakeFiles/main_vq.dir/main_vq.c.obj
[ 97%] Linking C executable main_vq
[100%] Built target main_vq
[100%] Built target image
[100%] Built target flash


	 *** PMSIS HelloWorld ***

Entering main controller
Main script of the vanilla application
Sample 0:	 The lowest cdist= 12.534463	 for codeword 30
Sample 1:	 The lowest cdist= 10.954397	 for codeword 111
Sample 2:	 The lowest cdist= 11.856223	 for codeword 96
Sample 3:	 The lowest cdist= 12.836723	 for codeword 12
Sample 4:	 The lowest cdist= 11.233165	 for codeword 26
Sample 5:	 The lowest cdist= 11.824022	 for codeword 103
Sample 6:	 The lowest cdist= 9.956474	 	 for codeword 12
Sample 7:	 The lowest cdist= 11.400371	 for codeword 5
Sample 8:	 The lowest cdist= 12.671700	 for codeword 53
Sample 9:	 The lowest cdist= 11.807158	 for codeword 124
Sample 10:	 The lowest cdist= 11.777987	 for codeword 83
Sample 11:	 The lowest cdist= 11.387630	 for codeword 11
Sample 12:	 The lowest cdist= 12.215476	 for codeword 5
Sample 13:	 The lowest cdist= 11.510034	 for codeword 55
Sample 14:	 The lowest cdist= 10.834514	 for codeword 33
Sample 15:	 The lowest cdist= 12.293641	 for codeword 12
Sample 16:	 The lowest cdist= 11.930705	 for codeword 32
Sample 17:	 The lowest cdist= 11.846428	 for codeword 27
Sample 18:	 The lowest cdist= 11.010230	 for codeword 22
Sample 19:	 The lowest cdist= 12.929828	 for codeword 74
Sample 20:	 The lowest cdist= 11.498922	 for codeword 0
Sample 21:	 The lowest cdist= 11.718112	 for codeword 86
Sample 22:	 The lowest cdist= 12.978745	 for codeword 98
Sample 23:	 The lowest cdist= 11.117437	 for codeword 13
Sample 24:	 The lowest cdist= 11.411687	 for codeword 26
Sample 25:	 The lowest cdist= 11.934512	 for codeword 121
Sample 26:	 The lowest cdist= 11.585727	 for codeword 86
Sample 27:	 The lowest cdist= 12.542452	 for codeword 124
Sample 28:	 The lowest cdist= 13.157756	 for codeword 13
Sample 29:	 The lowest cdist= 12.165842	 for codeword 115
Sample 30:	 The lowest cdist= 12.361286	 for codeword 55
Sample 31:	 The lowest cdist= 12.084114	 for codeword 27
Sample 32:	 The lowest cdist= 12.221158	 for codeword 86
Sample 33:	 The lowest cdist= 11.824566	 for codeword 33
Sample 34:	 The lowest cdist= 11.894999	 for codeword 21
Sample 35:	 The lowest cdist= 11.983720	 for codeword 30
Sample 36:	 The lowest cdist= 11.056502	 for codeword 53
Sample 37:	 The lowest cdist= 11.411771	 for codeword 13
Sample 38:	 The lowest cdist= 12.863110	 for codeword 22
Sample 39:	 The lowest cdist= 12.552430	 for codeword 108
Sample 40:	 The lowest cdist= 11.597589	 for codeword 100
Sample 41:	 The lowest cdist= 11.735441	 for codeword 11
Sample 42:	 The lowest cdist= 12.322068	 for codeword 59
Sample 43:	 The lowest cdist= 12.193270	 for codeword 74
Sample 44:	 The lowest cdist= 12.138738	 for codeword 10
Sample 45:	 The lowest cdist= 12.203340	 for codeword 108
Sample 46:	 The lowest cdist= 12.614002	 for codeword 93
Sample 47:	 The lowest cdist= 12.206228	 for codeword 66
Sample 48:	 The lowest cdist= 11.481408	 for codeword 67
Sample 49:	 The lowest cdist= 11.689263	 for codeword 28
Sample 50:	 The lowest cdist= 12.219360	 for codeword 98
Sample 51:	 The lowest cdist= 11.865827	 for codeword 27
Sample 52:	 The lowest cdist= 12.483232	 for codeword 83
Sample 53:	 The lowest cdist= 11.275492	 for codeword 27
Sample 54:	 The lowest cdist= 11.825430	 for codeword 16
Sample 55:	 The lowest cdist= 11.963642	 for codeword 45
Sample 56:	 The lowest cdist= 11.407826	 for codeword 29
Sample 57:	 The lowest cdist= 11.948172	 for codeword 101
Sample 58:	 The lowest cdist= 12.533345	 for codeword 13
Sample 59:	 The lowest cdist= 11.519304	 for codeword 66
Sample 60:	 The lowest cdist= 12.973862	 for codeword 45
Sample 61:	 The lowest cdist= 12.573655	 for codeword 29
Sample 62:	 The lowest cdist= 11.975018	 for codeword 13
Sample 63:	 The lowest cdist= 11.860281	 for codeword 3
Sample 64:	 The lowest cdist= 12.196275	 for codeword 57
Sample 65:	 The lowest cdist= 11.734650	 for codeword 104
Sample 66:	 The lowest cdist= 12.051443	 for codeword 27
Sample 67:	 The lowest cdist= 12.696430	 for codeword 52
Sample 68:	 The lowest cdist= 11.845188	 for codeword 86
Sample 69:	 The lowest cdist= 12.555399	 for codeword 127
Sample 70:	 The lowest cdist= 12.162630	 for codeword 121
Sample 71:	 The lowest cdist= 12.128078	 for codeword 27
Sample 72:	 The lowest cdist= 11.536044	 for codeword 27
Sample 73:	 The lowest cdist= 11.302318	 for codeword 111
Sample 74:	 The lowest cdist= 12.211296	 for codeword 53
Sample 75:	 The lowest cdist= 12.373731	 for codeword 52
Sample 76:	 The lowest cdist= 13.149314	 for codeword 87
Sample 77:	 The lowest cdist= 12.620127	 for codeword 11
Sample 78:	 The lowest cdist= 13.058787	 for codeword 125
Sample 79:	 The lowest cdist= 11.461176	 for codeword 17
Sample 80:	 The lowest cdist= 12.085965	 for codeword 2
Sample 81:	 The lowest cdist= 11.879655	 for codeword 57
